id,name,merchant,product_slug,variant,focus,finished_min_height_in,finished_max_height_in,frame_min_height_in,frame_max_height_in,desktop_width_min_in,desktop_width_max_in,desktop_depth_min_in,desktop_depth_max_in,desktop_size_label,inner_clearance_in,frame_width_min_in,frame_width_max_in,frame_depth_in,leg_count,column_stages,motor_count,frame_layout,comparison_load_lb,static_load_lb,lifting_load_lb,capacity_lb,published_load_label,product_url,related_path,source_urls
sunaofe-lunar-72x30,"Sunaofe Lunar — 72 × 30 in",Sunaofe,sunaofe_lunar_desk,"72 × 30 in listed desktop option",dual_monitor,28,51.2,unknown,unknown,72,72,30,30,"72 × 30 in selected desktop; 48/55/60 × 30 in also listed",unknown,unknown,unknown,unknown,2,3,2,"Two-column three-stage dual-motor frame",350,unknown,unknown,350,"350 lb manufacturer-listed capacity; not a dual-monitor stability test",https://sunaofe.com/products/standing-desk-lunar,/best-standing-desk-for-dual-monitors,https://sunaofe.com/products/standing-desk-lunar;https://sunaofe.com/pages/returns-and-refunds;https://sunaofe.com/pages/warranty
branch-tria-71x30,"Branch Tria — 71 × 30 in",Branch,branch_tria_standing_desk_48x27,"71 × 30 in listed desktop option",dual_monitor,25.5,48.9,25.5,48.9,71,71,30,30,"71 × 30 in listed desktop; Tria also lists 48 × 27 and 58 × 27 in",unknown,unknown,unknown,unknown,unknown,3,unknown,"Three-stage lifting columns; tapered adjustable feet",275,unknown,275,unknown,"275 lb published lift capacity; not a dual-monitor stability test",https://www.branchfurniture.com/products/tria-standing-desk,/best-standing-desk-for-dual-monitors,https://www.branchfurniture.com/products/tria-standing-desk;https://www.branchfurniture.com/cdn/shop/files/specs-tria-standing-desk.pdf?v=6760253827135638948;https://www.branchfurniture.com/pages/warranty;https://www.branchfurniture.com/pages/returns
branch-duo-36x24,"Branch Duo — 36 × 24 in",Branch,branch_duo_36x24,"36 × 24 in listed desktop option",walking_pad,28,47.3,28,47.3,36,36,24,24,"36 × 24 in listed desktop; smallest Duo option",unknown,unknown,unknown,unknown,unknown,unknown,2,"Frameless dual-motor design",275,unknown,275,unknown,"275 lb published weight limit; not a walking-pad clearance or stability test",https://www.branchfurniture.com/collections/work-from-home/products/duo-standing-desk,/best-standing-desk-for-small-space-walking-pad,https://www.branchfurniture.com/collections/work-from-home/products/duo-standing-desk;https://www.branchfurniture.com/pages/warranty;https://www.branchfurniture.com/pages/returns
uplift-v3-2leg-42x24,"UPLIFT V3 2-Leg — 42 × 24 in","UPLIFT Desk",uplift_v3_2_leg_42x24,"42 × 24 in top selected separately; 1-in top height assumption",walking_pad,22.6,48.7,21.6,47.7,42,42,24,24,"42 × 24 in top selected separately; other widths are listed",unknown,41.3,72.2,23.6,2,unknown,unknown,"Two-leg C-Frame or T-Frame; FlexMount Cable Manager",355,unknown,355,unknown,"355 lb lifting capacity, inclusive of desktop weight",https://www.upliftdesk.com/2-leg-standing-desk-frame/,/best-standing-desk-for-small-space-walking-pad,https://www.upliftdesk.com/2-leg-standing-desk-frame/;https://www.upliftdesk.com/warranty/;https://www.upliftdesk.com/returns/
uplift-v2-72x30,"UPLIFT V2 — 72 × 30 in","UPLIFT Desk",uplift_v2,"72 × 30 in desktop profile; V2 frame revision must be confirmed",dual_monitor,unknown,unknown,24.3,49.9,72,72,30,30,"72 × 30 in selected desktop; cited V2 path lists 42–80 in widths and 24/30 in depths",unknown,41.3,72.2,unknown,2,unknown,unknown,"Two-leg C-Frame or T-Frame; exact revision must be checked",355,unknown,355,unknown,"355 lb lifting capacity; not a combined monitor-arm stability rating",https://www.upliftdesk.com/uplift-v2-standing-desk-v2-or-v2-commercial/,/uplift-v2-vs-flexispot-e7-pro,https://www.upliftdesk.com/uplift-v2-standing-desk-v2-or-v2-commercial/;https://www.content.upliftdesk.com/content/pdfs/desks-and-frames/F500-C-Frame-V2-Specs-1.2.pdf;https://www.content.upliftdesk.com/content/pdfs/desks-and-frames/F500-instructions.pdf
flexispot-e7-pro-55x28,"FlexiSpot E7 Pro — 55 × 28 in",FlexiSpot,flexispot_e7_pro_55x28,"E7 Pro frame with the 55 × 28 in desktop option",walking_pad,unknown,unknown,25,50.6,55,55,28,28,"55 × 28 in selected desktop; frame accepts 47.2–80 in widths",unknown,43.3,74.8,unknown,2,unknown,2,"Two-column semi-C frame",396,440,unknown,396,"440 lb maximum static load; E7 Pro V2 manual separately lists 396 lb load capacity",https://www.flexispot.com/e7-pro-line-standing-desk,/best-standing-desk-for-tall-walking-pad-users,https://www.flexispot.com/e7-pro-line-standing-desk;https://s3.springbeetle.top/prod-common-bucket/commodity/item/E7-Pro-V2ET223IB-HD-ZX_20260610_595he3eV.pdf
flexispot-e7-plus,"FlexiSpot E7 Plus",FlexiSpot,flexispot_e7_plus,"Four-column frame; exact desktop selection varies",both,unknown,unknown,26,51.6,47.2,78.7,27.6,35.4,"47.2–78.7 in long × 27.6–35.4 in deep; top over 0.7 in thick",unknown,38.9,62.6,unknown,4,unknown,2,"Four-column frame; dual motor and transmission hardware",440,540,440,unknown,"540 lb static load · 440 lb lifting load",https://www.flexispot.com/flexispot-4-leg-standing-desk-e7plus,/flexispot-e7-pro-vs-e7-plus,https://www.flexispot.com/flexispot-4-leg-standing-desk-e7plus;https://s3.springbeetle.eu/dev-de-s3-flexispot/commodity/item/E7_Plus_2025_MANUAL.pdf
flexispot-e7q,"FlexiSpot E7Q Odin",FlexiSpot,flexispot_e7q,"Four-column/four-motor frame; exact top length unknown",both,unknown,unknown,25.8,51.6,unknown,unknown,30,35.4,"30–35.4 in desktop depth listed; exact current top-length envelope unknown",unknown,43.3,74.8,unknown,4,unknown,4,"Four-column frame; four motors",660,660,unknown,unknown,"660 lb maximum static load; current moving/lifting label not found in the cited source",https://www.flexispot.com/flexispot-odin-4-leg-standing-desk,/flexispot-e7-plus-vs-e7q,https://www.flexispot.com/flexispot-odin-4-leg-standing-desk;https://www.flexispot.com/blog/flexispots-4-leg-standing-desks-e7-plus-vs-e7q
vari-comfortedge-48x30,"Vari ComfortEdge — 48 × 30 in",Vari,vari_comfortedge_48x30,"48 × 30 in assembled desk with 1¼-in desktop",walking_pad,25,50.5,25,50.5,48,48,30,30,"48 × 30 in; 40 × 26 and 54 × 26 variants also listed",unknown,unknown,unknown,unknown,unknown,3,unknown,"One-piece pre-installed frame; three-tier legs not separately dimensioned",220,unknown,unknown,220,"220 lb weight capacity; not a walking-pad stability result",https://www.vari.com/electric-standing-desk-with-comfortedge-48x30/FD-ESDCE4830.html,/best-standing-desk-for-tall-walking-pad-users,https://www.vari.com/electric-standing-desk-with-comfortedge-48x30/FD-ESDCE4830.html;https://www.vari.com/on/demandware.static/-/Sites-vari-master-catalog/default/dw0f6cbe44/pdf/spec/High/402915-electric-standing-desk-comfortEdge-48x30-walnut_white-specsheet.pdf;https://www.vari.com/lifetime-warranty/
